Date,Open,High,Low,Close
2020-07-02,5.848,5.848,5.821,5.841
2020-07-03,5.853,5.873,5.845,5.845
2020-07-06,5.851,5.851,5.825,5.836
2020-07-07,5.836,5.846,5.792,5.793
2020-07-08,5.802,5.802,5.76,5.778
2020-07-09,5.764,5.794,5.764,5.772
2020-07-10,5.77,5.773,5.747,5.76
2020-07-13,5.78,5.787,5.77,5.786
2020-07-14,5.822,5.847,5.796,5.825
2020-07-15,5.817,5.825,5.815,5.815
2020-07-16,5.828,5.828,5.808,5.813
2020-07-17,5.822,5.829,5.795,5.805
2020-07-20,5.812,5.818,5.794,5.801
2020-07-21,5.814,5.829,5.795,5.829
2020-07-22,5.841,5.841,5.814,5.814
2020-07-23,5.825,5.825,5.805,5.805
2020-07-24,5.815,5.825,5.8,5.817
2020-07-27,5.835,5.86,5.813,5.859
2020-07-28,5.889,5.889,5.85,5.85
2020-07-29,5.87,5.87,5.832,5.835
2020-07-30,5.852,5.852,5.819,5.825
2020-07-31,5.833,5.845,5.814,5.837
2020-08-03,5.846,5.848,5.836,5.837
2020-08-04,5.855,5.855,5.823,5.833
2020-08-05,5.84,5.84,5.824,5.826
2020-08-06,5.834,5.887,5.808,5.862
2020-08-07,5.879,5.893,5.868,5.886
2020-08-10,5.91,5.916,5.893,5.893
2020-08-11,5.91,5.91,5.885,5.903
2020-08-12,5.922,5.926,5.88,5.884
2020-08-13,5.885,5.898,5.876,5.895
2020-08-14,5.993,5.993,5.934,5.965
2020-08-17,6.004,6.004,5.96,5.975
2020-08-18,5.991,5.994,5.975,5.986
2020-08-19,5.993,6.01,5.993,6.008
2020-08-20,6.013,6.013,5.994,6
2020-08-21,6.047,6.144,6.034,6.14
2020-08-24,6.182,6.231,6.152,6.221
2020-08-25,6.14,6.172,6.124,6.157
2020-08-26,6.184,6.209,6.142,6.203
2020-08-27,6.201,6.201,6.143,6.147
2020-08-28,6.187,6.192,6.096,6.097
2020-08-31,6.117,6.117,6.071,6.078
2020-09-01,5.949,5.961,5.934,5.943
2020-09-02,5.957,5.957,5.918,5.92
2020-09-03,5.919,5.919,5.885,5.896
2020-09-04,5.91,5.944,5.896,5.93
2020-09-07,5.953,5.995,5.951,5.993
2020-09-08,6.039,6.06,6.011,6.056
2020-09-09,6.081,6.081,5.983,5.989
2020-09-10,5.998,6.053,5.985,6.053
2020-09-11,6.109,6.109,6.017,6.041
2020-09-14,6.074,6.074,6.026,6.031
2020-09-15,6.045,6.045,6.014,6.029
2020-09-16,6.046,6.046,5.992,5.995
2020-09-17,5.999,6.011,5.981,6.011
2020-09-18,6.028,6.028,5.991,6.014
2020-09-21,6.027,6.027,6.005,6.016
2020-09-22,6.027,6.027,5.991,5.996
2020-09-23,5.996,6.003,5.989,5.99
2020-09-24,6.027,6.027,5.981,5.992
2020-09-25,6.041,6.041,6.003,6.038
2020-09-28,6.068,6.079,6.042,6.056
2020-09-29,6.069,6.073,6.038,6.042
2020-09-30,6.057,6.057,6.012,6.015
2020-10-01,5.965,6.006,5.965,5.996
2020-10-05,6.018,6.018,5.989,6.004
2020-10-06,6.026,6.026,6.016,6.026
2020-10-07,6.032,6.032,6.008,6.014
2020-10-08,6.025,6.029,6.012,6.015
2020-10-09,6.042,6.042,5.92,5.937
2020-10-12,5.945,5.945,5.889,5.899
2020-10-13,5.925,5.925,5.888,5.904
2020-10-14,5.918,5.918,5.895,5.9
2020-10-15,5.911,5.911,5.888,5.898
2020-10-16,5.944,5.944,5.91,5.935
2020-10-19,5.932,5.944,5.921,5.937
2020-10-20,5.95,5.95,5.929,5.931
2020-10-21,5.947,5.947,5.912,5.912
2020-10-22,5.913,5.918,5.903,5.915
2020-10-23,5.898,5.898,5.844,5.844
2020-10-26,5.819,5.846,5.812,5.834
2020-10-27,5.849,5.86,5.83,5.846
2020-10-28,5.849,5.862,5.83,5.859
2020-10-29,5.874,5.886,5.852,5.881
2020-11-02,5.89,5.896,5.877,5.89
2020-11-03,5.888,5.914,5.888,5.898
2020-11-04,5.896,5.896,5.876,5.886
2020-11-05,5.883,5.883,5.855,5.858
2020-11-06,5.846,5.873,5.837,5.871
2020-11-09,5.883,5.886,5.874,5.876
2020-11-10,5.908,5.916,5.899,5.916
2020-11-11,5.936,5.936,5.901,5.903
2020-11-12,5.923,5.923,5.903,5.903
2020-11-13,5.915,5.915,5.878,5.878
2020-11-17,5.888,5.888,5.866,5.877
2020-11-18,5.865,5.881,5.865,5.878
2020-11-19,5.891,5.891,5.873,5.876
2020-11-20,5.874,5.882,5.871,5.877
2020-11-23,5.883,5.903,5.874,5.9
2020-11-24,5.913,5.913,5.879,5.88
2020-11-25,5.902,5.902,5.876,5.885
2020-11-26,5.895,5.895,5.869,5.872
2020-11-27,5.888,5.916,5.884,5.911
2020-12-01,5.919,5.93,5.909,5.93
2020-12-02,5.951,5.951,5.919,5.92
2020-12-03,5.933,5.935,5.912,5.932
2020-12-04,5.933,5.933,5.888,5.897
2020-12-07,5.908,5.929,5.906,5.924
2020-12-08,5.932,5.942,5.918,5.939
2020-12-09,5.947,5.951,5.907,5.917
2020-12-10,5.913,5.918,5.898,5.916
2020-12-11,5.943,5.96,5.92,5.956
2020-12-14,5.97,5.97,5.935,5.946
2020-12-15,5.926,5.949,5.923,5.943
2020-12-16,5.948,5.953,5.94,5.944
2020-12-17,5.955,5.955,5.938,5.952
2020-12-18,5.952,5.979,5.95,5.959
2020-12-21,5.962,5.974,5.952,5.957
2020-12-22,5.966,5.966,5.939,5.951
2020-12-23,5.951,5.953,5.944,5.95
2020-12-24,5.973,5.981,5.929,5.929
2020-12-28,5.918,5.928,5.918,5.925
2020-12-29,5.935,5.935,5.925,5.927
2020-12-30,5.933,5.933,5.9,5.9
2020-12-31,5.905,5.905,5.887,5.894
2021-01-01,5.905,5.905,5.888,5.898
2021-01-04,5.904,5.905,5.858,5.858
2021-01-05,5.856,5.858,5.839,5.85
2021-01-06,5.88,5.912,5.88,5.894
2021-01-07,5.906,5.912,5.891,5.892
2021-01-08,5.878,5.901,5.876,5.892
2021-01-11,5.946,5.946,5.917,5.924
2021-01-12,5.937,5.937,5.919,5.931
2021-01-13,5.916,5.947,5.914,5.947
