ticker,historical_min_date,historical_max_date,historical_session_count,pcr_min_date,pcr_max_date,pcr_observation_count,latest_data_gap_days,coverage_status
ADANIENT.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
ADANIPORTS.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
APOLLOHOSP.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
ASIANPAINT.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
AXISBANK.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
BAJAJ-AUTO.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
BAJFINANCE.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
BAJAJFINSV.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
BEL.NS,2021-05-17,2026-08-11,1300,2020-01-01,2026-08-11,1633,4,CURRENT
BHARTIARTL.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
BRITANNIA.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
CIPLA.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
COALINDIA.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
DRREDDY.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
EICHERMOT.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
ETERNAL.NS,2021-07-23,2026-08-11,1252,2025-04-09,2026-08-11,330,4,CURRENT
GRASIM.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
HCLTECH.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
HDFCBANK.NS,2021-08-11,2026-08-11,1239,2020-01-01,2026-08-11,1633,4,CURRENT
HDFCLIFE.NS,2021-04-29,2026-08-11,1311,2020-02-28,2026-08-11,1592,4,CURRENT
HEROMOTOCO.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
HINDALCO.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
HINDUNILVR.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
ICICIBANK.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
INDIGO.NS,2021-05-17,2026-08-11,1299,2020-01-01,2026-08-11,1633,4,CURRENT
INFY.NS,2021-08-11,2026-08-11,1239,2020-01-01,2026-08-11,1633,4,CURRENT
ITC.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
JIOFIN.NS,2023-08-21,2026-08-11,737,2024-11-29,2026-08-11,419,4,CURRENT
JSWSTEEL.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
KOTAKBANK.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
LT.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
M&M.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
MARUTI.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
MAXHEALTH.NS,2021-05-17,2026-08-11,1300,2024-11-29,2026-08-11,419,4,CURRENT
NESTLEIND.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
NTPC.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
ONGC.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
POWERGRID.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
RELIANCE.NS,2021-08-11,2026-08-11,1239,2020-01-01,2026-08-11,1633,4,CURRENT
SBILIFE.NS,2021-04-29,2026-08-11,1311,2020-05-04,2026-08-11,1552,4,CURRENT
SBIN.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
SHRIRAMFIN.NS,2021-05-17,2026-08-11,1300,2022-12-20,2026-08-11,897,4,CURRENT
SUNPHARMA.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
TATACONSUM.NS,2021-04-29,2026-08-11,1311,2020-02-27,2026-08-11,1593,4,CURRENT
TATASTEEL.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
TCS.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
TECHM.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
TITAN.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
TRENT.NS,2021-04-29,2026-08-11,1311,2021-03-01,2026-08-11,1343,4,CURRENT
ULTRACEMCO.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
WIPRO.NS,2021-04-29,2026-08-11,1311,2020-01-01,2026-08-11,1633,4,CURRENT
