ticker,model_version,feature_pipeline_version,contract_status
ADANIENT.NS,3c7a4a5ae14c,v1,READY_FOR_FEATURE_CONSTRUCTION
ADANIPORTS.NS,b93ab9691be4,v1,READY_FOR_FEATURE_CONSTRUCTION
APOLLOHOSP.NS,a0bd0b468e8b,v1,READY_FOR_FEATURE_CONSTRUCTION
ASIANPAINT.NS,e6259388a183,v1,READY_FOR_FEATURE_CONSTRUCTION
AXISBANK.NS,c5887408a2bd,v1,READY_FOR_FEATURE_CONSTRUCTION
BAJAJ-AUTO.NS,4ead6a75dc12,v1,READY_FOR_FEATURE_CONSTRUCTION
BAJFINANCE.NS,433d0ad7ddca,v1,READY_FOR_FEATURE_CONSTRUCTION
BAJAJFINSV.NS,d7782e81c688,v1,READY_FOR_FEATURE_CONSTRUCTION
BEL.NS,5c1ff0aa0aad,v1,READY_FOR_FEATURE_CONSTRUCTION
BHARTIARTL.NS,1db6ff197a40,v1,READY_FOR_FEATURE_CONSTRUCTION
BRITANNIA.NS,b4951f71a6bf,v1,READY_FOR_FEATURE_CONSTRUCTION
CIPLA.NS,91f547418e28,v1,READY_FOR_FEATURE_CONSTRUCTION
COALINDIA.NS,34ba065a209a,v1,READY_FOR_FEATURE_CONSTRUCTION
DRREDDY.NS,776e48979a61,v1,READY_FOR_FEATURE_CONSTRUCTION
EICHERMOT.NS,f4fcbc8ea09b,v1,READY_FOR_FEATURE_CONSTRUCTION
ETERNAL.NS,213c7cdf6b07,v1,READY_FOR_FEATURE_CONSTRUCTION
GRASIM.NS,2c1de894a637,v1,READY_FOR_FEATURE_CONSTRUCTION
HCLTECH.NS,0897f8e186c5,v1,READY_FOR_FEATURE_CONSTRUCTION
HDFCBANK.NS,4a79ab752e51,v1,READY_FOR_FEATURE_CONSTRUCTION
HDFCLIFE.NS,41399ec09316,v1,READY_FOR_FEATURE_CONSTRUCTION
HEROMOTOCO.NS,8bc8602ae09a,v1,READY_FOR_FEATURE_CONSTRUCTION
HINDALCO.NS,dbc2925e4fde,v1,READY_FOR_FEATURE_CONSTRUCTION
HINDUNILVR.NS,cd95e34ed076,v1,READY_FOR_FEATURE_CONSTRUCTION
ICICIBANK.NS,d63609af1d97,v1,READY_FOR_FEATURE_CONSTRUCTION
INDIGO.NS,25dbcd62a57b,v1,READY_FOR_FEATURE_CONSTRUCTION
INFY.NS,ce793e4e8839,v1,READY_FOR_FEATURE_CONSTRUCTION
ITC.NS,dd4365c40715,v1,READY_FOR_FEATURE_CONSTRUCTION
JIOFIN.NS,0d2db96d5965,v1,READY_FOR_FEATURE_CONSTRUCTION
JSWSTEEL.NS,f6cbf70e626f,v1,READY_FOR_FEATURE_CONSTRUCTION
KOTAKBANK.NS,572bb63ba388,v1,READY_FOR_FEATURE_CONSTRUCTION
LT.NS,8c272c989297,v1,READY_FOR_FEATURE_CONSTRUCTION
M&M.NS,a82ca768507c,v1,READY_FOR_FEATURE_CONSTRUCTION
MARUTI.NS,7ef4e7eabc45,v1,READY_FOR_FEATURE_CONSTRUCTION
MAXHEALTH.NS,89ccde0bb6bb,v1,READY_FOR_FEATURE_CONSTRUCTION
NESTLEIND.NS,f04bde3608d3,v1,READY_FOR_FEATURE_CONSTRUCTION
NTPC.NS,a97c5bf097c4,v1,READY_FOR_FEATURE_CONSTRUCTION
ONGC.NS,f9edf9feaee0,v1,READY_FOR_FEATURE_CONSTRUCTION
POWERGRID.NS,baeacbd6a8ee,v1,READY_FOR_FEATURE_CONSTRUCTION
RELIANCE.NS,9396a75b6365,v1,READY_FOR_FEATURE_CONSTRUCTION
SBILIFE.NS,710b376617f0,v1,READY_FOR_FEATURE_CONSTRUCTION
SBIN.NS,41efcda90bcf,v1,READY_FOR_FEATURE_CONSTRUCTION
SHRIRAMFIN.NS,0e7da5a7998c,v1,READY_FOR_FEATURE_CONSTRUCTION
SUNPHARMA.NS,845257eace4d,v1,READY_FOR_FEATURE_CONSTRUCTION
TATACONSUM.NS,241b68c2c661,v1,READY_FOR_FEATURE_CONSTRUCTION
TATASTEEL.NS,b6ad42ab4e15,v1,READY_FOR_FEATURE_CONSTRUCTION
TCS.NS,68df90ea3a2f,v1,READY_FOR_FEATURE_CONSTRUCTION
TECHM.NS,44f46805464f,v1,READY_FOR_FEATURE_CONSTRUCTION
TITAN.NS,f22de148c0b9,v1,READY_FOR_FEATURE_CONSTRUCTION
TRENT.NS,8dd0db56b45b,v1,READY_FOR_FEATURE_CONSTRUCTION
ULTRACEMCO.NS,8755f4b0285f,v1,READY_FOR_FEATURE_CONSTRUCTION
WIPRO.NS,6873fcb78722,v1,READY_FOR_FEATURE_CONSTRUCTION
