ticker,latest_date,status
ADANIENT.NS,2026-08-14,OHLCV_CURRENT
ADANIPORTS.NS,2026-08-14,OHLCV_CURRENT
APOLLOHOSP.NS,2026-08-14,OHLCV_CURRENT
ASIANPAINT.NS,2026-08-14,OHLCV_CURRENT
AXISBANK.NS,2026-08-14,OHLCV_CURRENT
BAJAJ-AUTO.NS,2026-08-14,OHLCV_CURRENT
BAJFINANCE.NS,2026-08-14,OHLCV_CURRENT
BAJAJFINSV.NS,2026-08-14,OHLCV_CURRENT
BEL.NS,2026-08-14,OHLCV_CURRENT
BHARTIARTL.NS,2026-08-14,OHLCV_CURRENT
BRITANNIA.NS,2026-08-14,OHLCV_CURRENT
CIPLA.NS,2026-08-14,OHLCV_CURRENT
COALINDIA.NS,2026-08-14,OHLCV_CURRENT
DRREDDY.NS,2026-08-14,OHLCV_CURRENT
EICHERMOT.NS,2026-08-14,OHLCV_CURRENT
ETERNAL.NS,2026-08-14,OHLCV_CURRENT
GRASIM.NS,2026-08-14,OHLCV_CURRENT
HCLTECH.NS,2026-08-14,OHLCV_CURRENT
HDFCBANK.NS,2026-08-14,OHLCV_CURRENT
HDFCLIFE.NS,2026-08-14,OHLCV_CURRENT
HEROMOTOCO.NS,2026-08-14,OHLCV_CURRENT
HINDALCO.NS,2026-08-14,OHLCV_CURRENT
HINDUNILVR.NS,2026-08-14,OHLCV_CURRENT
ICICIBANK.NS,2026-08-14,OHLCV_CURRENT
INDIGO.NS,2026-08-14,OHLCV_CURRENT
INFY.NS,2026-08-14,OHLCV_CURRENT
ITC.NS,2026-08-14,OHLCV_CURRENT
JIOFIN.NS,2026-08-14,OHLCV_CURRENT
JSWSTEEL.NS,2026-08-14,OHLCV_CURRENT
KOTAKBANK.NS,2026-08-14,OHLCV_CURRENT
LT.NS,2026-08-14,OHLCV_CURRENT
M&M.NS,2026-08-14,OHLCV_CURRENT
MARUTI.NS,2026-08-14,OHLCV_CURRENT
MAXHEALTH.NS,2026-08-14,OHLCV_CURRENT
NESTLEIND.NS,2026-08-14,OHLCV_CURRENT
NTPC.NS,2026-08-14,OHLCV_CURRENT
ONGC.NS,2026-08-14,OHLCV_CURRENT
POWERGRID.NS,2026-08-14,OHLCV_CURRENT
RELIANCE.NS,2026-08-14,OHLCV_CURRENT
SBILIFE.NS,2026-08-14,OHLCV_CURRENT
SBIN.NS,2026-08-14,OHLCV_CURRENT
SHRIRAMFIN.NS,2026-08-14,OHLCV_CURRENT
SUNPHARMA.NS,2026-08-14,OHLCV_CURRENT
TATACONSUM.NS,2026-08-14,OHLCV_CURRENT
TATASTEEL.NS,2026-08-14,OHLCV_CURRENT
TCS.NS,2026-08-14,OHLCV_CURRENT
TECHM.NS,2026-08-14,OHLCV_CURRENT
TITAN.NS,2026-08-14,OHLCV_CURRENT
TRENT.NS,2026-08-14,OHLCV_CURRENT
ULTRACEMCO.NS,2026-08-14,OHLCV_CURRENT
WIPRO.NS,2026-08-14,OHLCV_CURRENT
