ticker,OHLCV_latest,OHLCV_status,PCR_dependency,PCR_latest,PCR_status,news_latest,news_age,news_7d_status,sector_status,fii_dii_status,active_model_version,feature_pipeline_version,feature_contract_status,overall_readiness
ADANIENT.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,3c7a4a5ae14c,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
ADANIPORTS.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,b93ab9691be4,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
APOLLOHOSP.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,a0bd0b468e8b,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
ASIANPAINT.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,e6259388a183,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
AXISBANK.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,c5887408a2bd,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
BAJAJ-AUTO.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,4ead6a75dc12,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
BAJFINANCE.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,433d0ad7ddca,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
BAJAJFINSV.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,d7782e81c688,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
BEL.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,5c1ff0aa0aad,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
BHARTIARTL.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,1db6ff197a40,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
BRITANNIA.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,b4951f71a6bf,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
CIPLA.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,91f547418e28,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
COALINDIA.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,34ba065a209a,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
DRREDDY.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,776e48979a61,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
EICHERMOT.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,f4fcbc8ea09b,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
