coverage_var,perf_var,pearson_r,pearson_p,spearman_r,spearman_p
coverage_pct,delta_f1_macro,,,,
coverage_pct,delta_sell_f1,,,,
coverage_pct,delta_hold_f1,,,,
coverage_pct,delta_buy_f1,,,,
usable_feature_coverage_pct,delta_f1_macro,,,,
usable_feature_coverage_pct,delta_sell_f1,,,,
usable_feature_coverage_pct,delta_hold_f1,,,,
usable_feature_coverage_pct,delta_buy_f1,,,,
total_pcr_rows,delta_f1_macro,,,,
total_pcr_rows,delta_sell_f1,,,,
total_pcr_rows,delta_hold_f1,,,,
total_pcr_rows,delta_buy_f1,,,,
distinct_pcr_dates,delta_f1_macro,,,,
distinct_pcr_dates,delta_sell_f1,,,,
distinct_pcr_dates,delta_hold_f1,,,,
distinct_pcr_dates,delta_buy_f1,,,,
pcr_chg5_usable,delta_f1_macro,,,,
pcr_chg5_usable,delta_sell_f1,,,,
pcr_chg5_usable,delta_hold_f1,,,,
pcr_chg5_usable,delta_buy_f1,,,,
duplicate_records,delta_f1_macro,,,,
duplicate_records,delta_sell_f1,,,,
duplicate_records,delta_hold_f1,,,,
duplicate_records,delta_buy_f1,,,,
non_numeric_pcr_oi,delta_f1_macro,,,,
non_numeric_pcr_oi,delta_sell_f1,,,,
non_numeric_pcr_oi,delta_hold_f1,,,,
non_numeric_pcr_oi,delta_buy_f1,,,,
