sector,ticker_count,mean_delta_f1,median_delta_f1,mean_delta_sell_f1,mean_delta_hold_f1,mean_delta_buy_f1,improvement_count,regression_count,class_collapse_count,improvement_rate
AutomobileAndAutoComponents,5,-0.0003503752604468003,-0.0070065306725793,-0.020266752735455924,-0.00651347450242382,0.02572910145653922,1.0,4.0,2.0,0.2
CapitalGoods,1,-0.0025031256292981,-0.0025031256292981,0.0363016917293232,-0.0567226890756302,0.0129116204584125,,1.0,,
Construction,1,0.0173090879271224,0.0173090879271224,-0.0424710424710424,0.0231903636158955,0.071207942636514,1.0,,,1.0
ConstructionMaterials,2,-0.0012176217682697502,-0.0012176217682697502,0.005926563516889601,0.03505696359589175,-0.0446363924175906,1.0,1.0,,0.5
ConsumerDurables,2,0.01691289437139125,0.01691289437139125,-0.0063855881714536,0.028933998095692498,0.028190273189934847,2.0,,,1.0
ConsumerServices,1,-0.0023131784785858,-0.0023131784785858,0.0233019653031175,0.0355029585798816,-0.0657444593187565,,1.0,,
FastMovingConsumerGoods,5,-0.009451495456158279,-0.006867259041172,-0.025047198595027957,0.0022414732420935,-0.0055487610155404,2.0,3.0,1.0,0.4
FinancialServices,9,0.008088575735481456,0.0108253369997884,-0.009034824924197743,0.025695033800582967,0.007605518330059234,6.0,3.0,,0.6666666666666666
Healthcare,4,0.006303623781297425,0.0035614640811054993,0.010459269631669202,0.00019574756376240093,0.008255854148460725,2.0,2.0,1.0,0.5
InformationTechnology,5,0.01030732389743166,0.007810189361334,-0.0109975140102284,0.003988826110382839,0.03793065959214066,3.0,2.0,2.0,0.6
MetalsAndMining,4,-0.009061497477933826,-0.00400076344010675,-0.0036970749304039994,-0.025175797846556523,0.0016883803431590252,2.0,2.0,1.0,0.5
OilGasAndConsumableFuels,2,0.02025935685308555,0.02025935685308555,0.0577007197210927,0.054972246853876146,-0.0518948960157123,1.0,1.0,1.0,0.5
PowerUtilities,3,-0.0063136534384584,-0.0160709224581037,-0.016461039474650635,0.0017570276151512674,-0.0042369484558758995,1.0,2.0,,0.3333333333333333
Services,2,0.0293946209174116,0.0293946209174116,0.028865507893640896,0.04616402116402115,0.0131543336945727,1.0,1.0,,0.5
Telecommunication,1,0.0309528242329393,0.0309528242329393,0.0251269713980219,0.0081005586592178,0.059630942641578,1.0,,,1.0
