ticker,configured_in_TICKERS,model_artifact_exists,feature_artifact_exists,registry_record_count,candidate_versions,active_registry_version,retired_versions,active_manifest_exists,manifest_version,registry_manifest_version_match,lifecycle_state
ADANIENT.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
ADANIPORTS.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
APOLLOHOSP.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
ASIANPAINT.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
AXISBANK.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
BAJAJ-AUTO.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
BAJFINANCE.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
BAJAJFINSV.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
BEL.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
BHARTIARTL.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
BRITANNIA.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
CIPLA.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
COALINDIA.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
DRREDDY.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
EICHERMOT.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
ETERNAL.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
GRASIM.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
HCLTECH.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
HDFCBANK.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
HDFCLIFE.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
HEROMOTOCO.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
HINDALCO.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
HINDUNILVR.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
ICICIBANK.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
INDIGO.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
INFY.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
ITC.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
JIOFIN.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
JSWSTEEL.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
KOTAKBANK.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
LT.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
M&M.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
MARUTI.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
MAXHEALTH.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
NESTLEIND.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
NTPC.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
ONGC.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
POWERGRID.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
RELIANCE.NS,True,True,True,3,2,9396a75b6365,0,True,9396a75b6365,True,COMPLETE_ACTIVE
SBILIFE.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
SBIN.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
SHRIRAMFIN.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
SUNPHARMA.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
TATACONSUM.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
TATASTEEL.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
TCS.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
TECHM.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
TITAN.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
TRENT.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
ULTRACEMCO.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
WIPRO.NS,True,True,True,3,3,NONE,0,False,NONE,False,CANDIDATE_ONLY
