ticker,version,model_exists,feature_exists,artifact_status
ADANIENT.NS,3c7a4a5ae14c,True,True,ARTIFACTS_COMPLETE
ADANIENT.NS,66c2ef3e02d0,True,True,ARTIFACTS_COMPLETE
ADANIENT.NS,02396567e184,True,True,ARTIFACTS_COMPLETE
ADANIPORTS.NS,dd85a7190418,True,True,ARTIFACTS_COMPLETE
ADANIPORTS.NS,06bc74a2363f,True,True,ARTIFACTS_COMPLETE
ADANIPORTS.NS,b93ab9691be4,True,True,ARTIFACTS_COMPLETE
APOLLOHOSP.NS,cbe6d8ee7790,True,True,ARTIFACTS_COMPLETE
APOLLOHOSP.NS,a0bd0b468e8b,True,True,ARTIFACTS_COMPLETE
APOLLOHOSP.NS,05ede10abd64,True,True,ARTIFACTS_COMPLETE
ASIANPAINT.NS,fc03c2cbd1c4,True,True,ARTIFACTS_COMPLETE
ASIANPAINT.NS,4824c1b99db7,True,True,ARTIFACTS_COMPLETE
ASIANPAINT.NS,e6259388a183,True,True,ARTIFACTS_COMPLETE
AXISBANK.NS,c5887408a2bd,True,True,ARTIFACTS_COMPLETE
AXISBANK.NS,c9b756f77ab8,True,True,ARTIFACTS_COMPLETE
AXISBANK.NS,6714ad67d111,True,True,ARTIFACTS_COMPLETE
BAJAJ-AUTO.NS,4ead6a75dc12,True,True,ARTIFACTS_COMPLETE
BAJAJ-AUTO.NS,48c2a43dffff,True,True,ARTIFACTS_COMPLETE
BAJAJ-AUTO.NS,db9e0769b1d1,True,True,ARTIFACTS_COMPLETE
BAJFINANCE.NS,433d0ad7ddca,True,True,ARTIFACTS_COMPLETE
BAJFINANCE.NS,397cf26016b6,True,True,ARTIFACTS_COMPLETE
BAJFINANCE.NS,19fd01804fed,True,True,ARTIFACTS_COMPLETE
BAJAJFINSV.NS,d7782e81c688,True,True,ARTIFACTS_COMPLETE
BAJAJFINSV.NS,d1602b7bb0cc,True,True,ARTIFACTS_COMPLETE
BAJAJFINSV.NS,550436d37c2e,True,True,ARTIFACTS_COMPLETE
BEL.NS,5c1ff0aa0aad,True,True,ARTIFACTS_COMPLETE
BEL.NS,d531ce73163b,True,True,ARTIFACTS_COMPLETE
BEL.NS,5cc7f5c36428,True,True,ARTIFACTS_COMPLETE
BHARTIARTL.NS,54da001749a5,True,True,ARTIFACTS_COMPLETE
BHARTIARTL.NS,909066bc44c9,True,True,ARTIFACTS_COMPLETE
BHARTIARTL.NS,1db6ff197a40,True,True,ARTIFACTS_COMPLETE
BRITANNIA.NS,fd8d23128b94,True,True,ARTIFACTS_COMPLETE
BRITANNIA.NS,b4951f71a6bf,True,True,ARTIFACTS_COMPLETE
BRITANNIA.NS,75a51f014587,True,True,ARTIFACTS_COMPLETE
CIPLA.NS,4667a453f22d,True,True,ARTIFACTS_COMPLETE
CIPLA.NS,91f547418e28,True,True,ARTIFACTS_COMPLETE
CIPLA.NS,a133bb37aed0,True,True,ARTIFACTS_COMPLETE
COALINDIA.NS,34ba065a209a,True,True,ARTIFACTS_COMPLETE
COALINDIA.NS,8c000efaacb2,True,True,ARTIFACTS_COMPLETE
COALINDIA.NS,174fb1f190ff,True,True,ARTIFACTS_COMPLETE
DRREDDY.NS,776e48979a61,True,True,ARTIFACTS_COMPLETE
DRREDDY.NS,2ac38559612d,True,True,ARTIFACTS_COMPLETE
DRREDDY.NS,7210d4a2ac7f,True,True,ARTIFACTS_COMPLETE
EICHERMOT.NS,cebb182a5b8f,True,True,ARTIFACTS_COMPLETE
EICHERMOT.NS,f4fcbc8ea09b,True,True,ARTIFACTS_COMPLETE
EICHERMOT.NS,1add26b9ab6f,True,True,ARTIFACTS_COMPLETE
ETERNAL.NS,e88bbaaef3e7,True,True,ARTIFACTS_COMPLETE
ETERNAL.NS,95138f428631,True,True,ARTIFACTS_COMPLETE
ETERNAL.NS,213c7cdf6b07,True,True,ARTIFACTS_COMPLETE
GRASIM.NS,bd33d236146e,True,True,ARTIFACTS_COMPLETE
GRASIM.NS,60c64b7bac5f,True,True,ARTIFACTS_COMPLETE
GRASIM.NS,2c1de894a637,True,True,ARTIFACTS_COMPLETE
HCLTECH.NS,e3f525b6c80b,True,True,ARTIFACTS_COMPLETE
HCLTECH.NS,0897f8e186c5,True,True,ARTIFACTS_COMPLETE
HCLTECH.NS,c52c57f19196,True,True,ARTIFACTS_COMPLETE
HDFCBANK.NS,44def814527e,True,True,ARTIFACTS_COMPLETE
HDFCBANK.NS,ea91152f3700,True,True,ARTIFACTS_COMPLETE
HDFCBANK.NS,4a79ab752e51,True,True,ARTIFACTS_COMPLETE
HDFCLIFE.NS,41399ec09316,True,True,ARTIFACTS_COMPLETE
HDFCLIFE.NS,645a8e00fc74,True,True,ARTIFACTS_COMPLETE
HDFCLIFE.NS,2a47400ee179,True,True,ARTIFACTS_COMPLETE
HEROMOTOCO.NS,38319e433e38,True,True,ARTIFACTS_COMPLETE
HEROMOTOCO.NS,8bc8602ae09a,True,True,ARTIFACTS_COMPLETE
HEROMOTOCO.NS,50e12ce11fad,True,True,ARTIFACTS_COMPLETE
HINDALCO.NS,75117f692dd8,True,True,ARTIFACTS_COMPLETE
HINDALCO.NS,dbc2925e4fde,True,True,ARTIFACTS_COMPLETE
HINDALCO.NS,75c4bcd16d7e,True,True,ARTIFACTS_COMPLETE
HINDUNILVR.NS,cd95e34ed076,True,True,ARTIFACTS_COMPLETE
HINDUNILVR.NS,d623ab98c5ab,True,True,ARTIFACTS_COMPLETE
HINDUNILVR.NS,6ae4cbc68cf5,True,True,ARTIFACTS_COMPLETE
ICICIBANK.NS,d63609af1d97,True,True,ARTIFACTS_COMPLETE
ICICIBANK.NS,42fb30971459,True,True,ARTIFACTS_COMPLETE
ICICIBANK.NS,9a90cf51924c,True,True,ARTIFACTS_COMPLETE
INDIGO.NS,25dbcd62a57b,True,True,ARTIFACTS_COMPLETE
INDIGO.NS,f0e8b414f4f4,True,True,ARTIFACTS_COMPLETE
INDIGO.NS,208247af8cb1,True,True,ARTIFACTS_COMPLETE
