ticker,version,model_hash_expected,feature_hash_expected,hash_status,hash_classification
ADANIENT.NS,3c7a4a5ae14c,3c7a4a5ae14c,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
ADANIENT.NS,66c2ef3e02d0,66c2ef3e02d0,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
ADANIENT.NS,02396567e184,02396567e184,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
ADANIPORTS.NS,dd85a7190418,dd85a7190418,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
ADANIPORTS.NS,06bc74a2363f,06bc74a2363f,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
ADANIPORTS.NS,b93ab9691be4,b93ab9691be4,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
APOLLOHOSP.NS,cbe6d8ee7790,cbe6d8ee7790,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
APOLLOHOSP.NS,a0bd0b468e8b,a0bd0b468e8b,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
APOLLOHOSP.NS,05ede10abd64,05ede10abd64,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
ASIANPAINT.NS,fc03c2cbd1c4,fc03c2cbd1c4,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
ASIANPAINT.NS,4824c1b99db7,4824c1b99db7,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
ASIANPAINT.NS,e6259388a183,e6259388a183,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
AXISBANK.NS,c5887408a2bd,c5887408a2bd,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
AXISBANK.NS,c9b756f77ab8,c9b756f77ab8,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
AXISBANK.NS,6714ad67d111,6714ad67d111,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
BAJAJ-AUTO.NS,4ead6a75dc12,4ead6a75dc12,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
BAJAJ-AUTO.NS,48c2a43dffff,48c2a43dffff,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
BAJAJ-AUTO.NS,db9e0769b1d1,db9e0769b1d1,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
BAJFINANCE.NS,433d0ad7ddca,433d0ad7ddca,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
BAJFINANCE.NS,397cf26016b6,397cf26016b6,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
BAJFINANCE.NS,19fd01804fed,19fd01804fed,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
BAJAJFINSV.NS,d7782e81c688,d7782e81c688,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
BAJAJFINSV.NS,d1602b7bb0cc,d1602b7bb0cc,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
BAJAJFINSV.NS,550436d37c2e,550436d37c2e,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
BEL.NS,5c1ff0aa0aad,5c1ff0aa0aad,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
BEL.NS,d531ce73163b,d531ce73163b,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
BEL.NS,5cc7f5c36428,5cc7f5c36428,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
BHARTIARTL.NS,54da001749a5,54da001749a5,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
BHARTIARTL.NS,909066bc44c9,909066bc44c9,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
BHARTIARTL.NS,1db6ff197a40,1db6ff197a40,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
BRITANNIA.NS,fd8d23128b94,fd8d23128b94,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
