ticker,version,quality_classification
ADANIENT.NS,3c7a4a5ae14c,AMBIGUOUS
ADANIENT.NS,66c2ef3e02d0,AMBIGUOUS
ADANIENT.NS,02396567e184,AMBIGUOUS
ADANIPORTS.NS,dd85a7190418,AMBIGUOUS
ADANIPORTS.NS,06bc74a2363f,AMBIGUOUS
ADANIPORTS.NS,b93ab9691be4,AMBIGUOUS
APOLLOHOSP.NS,cbe6d8ee7790,AMBIGUOUS
APOLLOHOSP.NS,a0bd0b468e8b,AMBIGUOUS
APOLLOHOSP.NS,05ede10abd64,AMBIGUOUS
ASIANPAINT.NS,fc03c2cbd1c4,AMBIGUOUS
ASIANPAINT.NS,4824c1b99db7,AMBIGUOUS
ASIANPAINT.NS,e6259388a183,AMBIGUOUS
AXISBANK.NS,c5887408a2bd,AMBIGUOUS
AXISBANK.NS,c9b756f77ab8,AMBIGUOUS
AXISBANK.NS,6714ad67d111,AMBIGUOUS
BAJAJ-AUTO.NS,4ead6a75dc12,AMBIGUOUS
BAJAJ-AUTO.NS,48c2a43dffff,AMBIGUOUS
BAJAJ-AUTO.NS,db9e0769b1d1,AMBIGUOUS
BAJFINANCE.NS,433d0ad7ddca,AMBIGUOUS
BAJFINANCE.NS,397cf26016b6,AMBIGUOUS
BAJFINANCE.NS,19fd01804fed,AMBIGUOUS
BAJAJFINSV.NS,d7782e81c688,AMBIGUOUS
BAJAJFINSV.NS,d1602b7bb0cc,AMBIGUOUS
BAJAJFINSV.NS,550436d37c2e,AMBIGUOUS
BEL.NS,5c1ff0aa0aad,AMBIGUOUS
BEL.NS,d531ce73163b,AMBIGUOUS
BEL.NS,5cc7f5c36428,AMBIGUOUS
BHARTIARTL.NS,54da001749a5,AMBIGUOUS
BHARTIARTL.NS,909066bc44c9,AMBIGUOUS
BHARTIARTL.NS,1db6ff197a40,AMBIGUOUS
BRITANNIA.NS,fd8d23128b94,AMBIGUOUS
BRITANNIA.NS,b4951f71a6bf,AMBIGUOUS
BRITANNIA.NS,75a51f014587,AMBIGUOUS
CIPLA.NS,4667a453f22d,AMBIGUOUS
CIPLA.NS,91f547418e28,AMBIGUOUS
CIPLA.NS,a133bb37aed0,AMBIGUOUS
COALINDIA.NS,34ba065a209a,AMBIGUOUS
COALINDIA.NS,8c000efaacb2,AMBIGUOUS
COALINDIA.NS,174fb1f190ff,AMBIGUOUS
DRREDDY.NS,776e48979a61,AMBIGUOUS
DRREDDY.NS,2ac38559612d,AMBIGUOUS
DRREDDY.NS,7210d4a2ac7f,AMBIGUOUS
EICHERMOT.NS,cebb182a5b8f,AMBIGUOUS
EICHERMOT.NS,f4fcbc8ea09b,AMBIGUOUS
EICHERMOT.NS,1add26b9ab6f,AMBIGUOUS
ETERNAL.NS,e88bbaaef3e7,AMBIGUOUS
ETERNAL.NS,95138f428631,AMBIGUOUS
ETERNAL.NS,213c7cdf6b07,AMBIGUOUS
GRASIM.NS,bd33d236146e,AMBIGUOUS
GRASIM.NS,60c64b7bac5f,AMBIGUOUS
GRASIM.NS,2c1de894a637,AMBIGUOUS
