ticker,candidate_count,candidate_versions,artifact_status,hash_status,provenance_status,canonical_selection_rule_found,selected_candidate_version,selection_basis,promotion_eligibility,blocking_reason
ADANIENT.NS,3,3c7a4a5ae14c;66c2ef3e02d0;02396567e184,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
ADANIPORTS.NS,3,dd85a7190418;06bc74a2363f;b93ab9691be4,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
APOLLOHOSP.NS,3,cbe6d8ee7790;a0bd0b468e8b;05ede10abd64,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
ASIANPAINT.NS,3,fc03c2cbd1c4;4824c1b99db7;e6259388a183,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
AXISBANK.NS,3,c5887408a2bd;c9b756f77ab8;6714ad67d111,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
BAJAJ-AUTO.NS,3,4ead6a75dc12;48c2a43dffff;db9e0769b1d1,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
BAJFINANCE.NS,3,433d0ad7ddca;397cf26016b6;19fd01804fed,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
BAJAJFINSV.NS,3,d7782e81c688;d1602b7bb0cc;550436d37c2e,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
BEL.NS,3,5c1ff0aa0aad;d531ce73163b;5cc7f5c36428,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
BHARTIARTL.NS,3,54da001749a5;909066bc44c9;1db6ff197a40,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
BRITANNIA.NS,3,fd8d23128b94;b4951f71a6bf;75a51f014587,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
CIPLA.NS,3,4667a453f22d;91f547418e28;a133bb37aed0,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
COALINDIA.NS,3,34ba065a209a;8c000efaacb2;174fb1f190ff,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
DRREDDY.NS,3,776e48979a61;2ac38559612d;7210d4a2ac7f,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
EICHERMOT.NS,3,cebb182a5b8f;f4fcbc8ea09b;1add26b9ab6f,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
ETERNAL.NS,3,e88bbaaef3e7;95138f428631;213c7cdf6b07,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
GRASIM.NS,3,bd33d236146e;60c64b7bac5f;2c1de894a637,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
HCLTECH.NS,3,e3f525b6c80b;0897f8e186c5;c52c57f19196,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
HDFCBANK.NS,3,44def814527e;ea91152f3700;4a79ab752e51,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
HDFCLIFE.NS,3,41399ec09316;645a8e00fc74;2a47400ee179,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
HEROMOTOCO.NS,3,38319e433e38;8bc8602ae09a;50e12ce11fad,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
HINDALCO.NS,3,75117f692dd8;dbc2925e4fde;75c4bcd16d7e,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
HINDUNILVR.NS,3,cd95e34ed076;d623ab98c5ab;6ae4cbc68cf5,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
ICICIBANK.NS,3,d63609af1d97;42fb30971459;9a90cf51924c,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
INDIGO.NS,3,25dbcd62a57b;f0e8b414f4f4;208247af8cb1,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
INFY.NS,3,ce793e4e8839;90f8d2184423;6c549effc744,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
ITC.NS,3,ec7014f4e9df;1ff50678cced;dd4365c40715,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
JIOFIN.NS,3,a136644c1d2e;0d2db96d5965;beb622d9d178,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
JSWSTEEL.NS,3,a62a0a0f6fd9;f6cbf70e626f;15f1cf629f57,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
KOTAKBANK.NS,3,ae9b42f39a04;8778f8301216;572bb63ba388,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
LT.NS,3,8c272c989297;1e25cd6b3edc;fffa74c6ced2,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
M&M.NS,3,0743b33ecef7;558d590356df;a82ca768507c,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
MARUTI.NS,3,f65d66b576f5;7ef4e7eabc45;9d76042d0f88,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
MAXHEALTH.NS,3,df25620a16f2;6687bf1b01c5;89ccde0bb6bb,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
NESTLEIND.NS,3,f04bde3608d3;7aadd30cf3dd;718f85fe9370,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
NTPC.NS,3,1f4a7d9a04b8;a97c5bf097c4;e850d8e39a71,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
ONGC.NS,3,f9edf9feaee0;09b398bfd1df;6c29ed4f4b31,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
POWERGRID.NS,3,138281d5dbb0;40b304c072b0;baeacbd6a8ee,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
RELIANCE.NS,2,bc1d09c11c6c;a4264ce3aa03,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
SBILIFE.NS,3,7d4e4f2083ec;56d64f0a6cba;710b376617f0,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
SBIN.NS,3,82097585e678;89800c74b7e8;41efcda90bcf,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
SHRIRAMFIN.NS,3,c1fc54975746;6420994a0e89;0e7da5a7998c,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
SUNPHARMA.NS,3,24219657af50;bfa8f74a2afe;845257eace4d,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
TATACONSUM.NS,3,a52809467ad6;241b68c2c661;4d67a31ef2d1,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
TATASTEEL.NS,3,b6ad42ab4e15;182b9748cbf7;6b0ec6e931d3,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
TCS.NS,3,40b61a24a045;68df90ea3a2f;39f892ad8a37,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
TECHM.NS,3,e252ca12ff9b;5011305981a8;44f46805464f,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
TITAN.NS,3,f22de148c0b9;67c0dc7422a2;c62d01aa5314,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
TRENT.NS,3,8dd0db56b45b;67fe9e438970;9106deb806b5,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
ULTRACEMCO.NS,3,2b6d15d443e9;8755f4b0285f;2c6e05607985,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
WIPRO.NS,3,9ff5cf2a14aa;1999ed4012b1;6873fcb78722,ALL_COMPLETE,ALL_MATCH,ALL_COMPLETE,NO_CANONICAL_SELECTION_RULE_FOUND,NONE,N/A,SELECTION_RULE_MISSING,NO_CANONICAL_SELECTION_RULE_FOUND
