Split,Strategy,Mean_F1,Delta_vs_Control,Enabled_Count,Enabled_Rate,Collapse_Count
All (T1-T5),Control,0.3341210994251512,0.0,0,0.0,0
All (T1-T5),PCR Always,0.3337790154854156,-0.0003420839397356157,235,1.0,57
All (T1-T5),Gate_A,0.33426848450204283,0.00014738507689160407,98,0.41702127659574467,21
All (T1-T5),Gate_B,0.33487557283509634,0.0007544734099451111,64,0.2723404255319149,12
All (T1-T5),Gate_C,0.3329602329199306,-0.0011608665052206257,110,0.46808510638297873,31
All (T1-T5),Gate_D,0.3343955459552383,0.0002744465300870691,115,0.48936170212765956,27
T1 Only (Cold Start),Control,0.3344299362092957,0.0,0,0.0,0
T1 Only (Cold Start),PCR Always,0.3344918150095292,6.187880023350578e-05,47,1.0,14
T1 Only (Cold Start),Gate_A,0.3344299362092957,0.0,0,0.0,0
T1 Only (Cold Start),Gate_B,0.3344299362092957,0.0,0,0.0,0
T1 Only (Cold Start),Gate_C,0.3348227269239477,0.00039279071465203597,26,0.5531914893617021,8
T1 Only (Cold Start),Gate_D,0.33506524347527383,0.0006353072659781578,17,0.3617021276595745,6
T2-T5 (Warm),Control,0.3340438902291151,0.0,0,0.0,0
T2-T5 (Warm),PCR Always,0.3336008156043872,-0.0004430746247279238,188,1.0,43
T2-T5 (Warm),Gate_A,0.33422812157522946,0.00018423134611433856,98,0.5212765957446809,21
T2-T5 (Warm),Gate_B,0.3349869819915465,0.0009430917624313473,64,0.3404255319148936,12
T2-T5 (Warm),Gate_C,0.33249460941892633,-0.0015492808101887912,84,0.44680851063829785,23
T2-T5 (Warm),Gate_D,0.33422812157522946,0.00018423134611433856,98,0.5212765957446809,21
