ticker,number_of_cutoffs,times_pcr_selected,times_pcr_rejected,selection_rate,mean_actual_delta_f1_when_selected,mean_actual_delta_f1_when_rejected,overall_gate_delta_f1,pcr_always_delta_f1,class_collapses_gate,class_collapses_pcr_always
ADANIENT.NS,5,1,4,0.2,-0.0121467235093979,-0.015377890374820225,-0.0024293447018795987,-0.014731657001735798,1,3
ADANIPORTS.NS,5,0,5,0.0,0.0,-0.020591272537473275,0.0,-0.02059127253747333,0,3
APOLLOHOSP.NS,5,2,3,0.4,-0.0192502922003774,0.0016285519117469674,-0.0077001168801509754,-0.006722985733102793,1,1
ASIANPAINT.NS,5,5,0,1.0,0.010990755465606402,0.0,0.010990755465606405,0.010990755465606405,0,0
AXISBANK.NS,5,2,3,0.4,0.0097913810635351,-0.00042854019409020033,0.003916552425414044,0.003659428308959922,1,2
BAJAJ-AUTO.NS,5,0,5,0.0,0.0,-0.022224029528318902,0.0,-0.022224029528318933,0,2
BAJAJFINSV.NS,5,1,4,0.2,-0.0040124896038538,0.00916997427098215,-0.0008024979207707616,0.006533481496014948,1,1
BAJFINANCE.NS,5,0,5,0.0,0.0,-0.010623548649988481,0.0,-0.010623548649988518,0,2
BEL.NS,5,4,1,0.8,0.010947442718644274,0.0485527140793898,0.008757954174915405,0.018468496990793372,0,0
BHARTIARTL.NS,5,2,3,0.4,-0.0301254968628141,-0.020645874333467564,-0.012050198745125673,-0.024437723345206212,0,2
BRITANNIA.NS,5,2,3,0.4,-0.0021336930757373494,0.0029912034351876004,-0.0008534772302949412,0.0009412448308176336,1,1
CIPLA.NS,5,2,3,0.4,-0.0028828934216955995,0.004826452700629733,-0.001153157368678226,0.0017427142516995842,1,1
COALINDIA.NS,5,2,3,0.4,-0.011482749365041301,-0.0098459141000833,-0.0045930997460165044,-0.010500648206066499,1,2
DRREDDY.NS,5,1,4,0.2,-0.0155582191118424,0.0049638131363415,-0.0031116438223684818,0.0008594066867047334,1,2
EICHERMOT.NS,5,1,4,0.2,-0.0039508634181926,0.03196403420620645,-0.0007901726836385348,0.024781054681326686,1,1
GRASIM.NS,5,3,2,0.6,-0.0043897588746768,-0.0068517942068883,-0.002633855324806078,-0.005374573007561401,0,0
HCLTECH.NS,5,1,4,0.2,-0.0215697537967747,-0.008011253124957275,-0.004313950759354956,-0.010722953259320777,1,4
HDFCBANK.NS,5,1,4,0.2,-0.0293254781269308,0.0418372331466395,-0.005865095625386163,0.027604690891925476,1,1
HDFCLIFE.NS,5,1,4,0.2,0.0097173769921138,-0.005538036778988199,0.001943475398422756,-0.0024869540247677625,1,2
HEROMOTOCO.NS,5,1,4,0.2,-0.0606791208831866,-5.957258903419981e-05,-0.012135824176637323,-0.012183482247864696,0,0
HINDALCO.NS,5,4,1,0.8,0.022944126657353577,0.0442382710603019,0.018355301325882888,0.027202955537943285,0,0
HINDUNILVR.NS,5,0,5,0.0,0.0,-0.013538629995791241,0.0,-0.013538629995791219,0,0
ICICIBANK.NS,5,4,1,0.8,0.01336997300670725,0.0053904354849674,0.010695978405365847,0.011774065502359321,0,0
INDIGO.NS,5,0,5,0.0,0.0,-0.0010169934785481,0.0,-0.0010169934785481116,0,1
INFY.NS,5,0,5,0.0,0.0,0.0209097010038124,0.0,0.020909701003812408,0,1
ITC.NS,5,5,0,1.0,0.007089727739266258,0.0,0.0070897277392662494,0.0070897277392662494,0,0
JSWSTEEL.NS,5,0,5,0.0,0.0,-0.003440486405670659,0.0,-0.003440486405670673,0,1
KOTAKBANK.NS,5,1,4,0.2,-0.0320903776465514,-0.021636859524930524,-0.006418075529310297,-0.023727563149254748,0,1
LT.NS,5,5,0,1.0,0.03708240564781926,0.0,0.03708240564781932,0.03708240564781932,0,0
M&M.NS,5,0,5,0.0,0.0,-0.01618365756741632,0.0,-0.016183657567416354,0,4
MARUTI.NS,5,3,2,0.6,0.012154688124093866,-0.013817875285786249,0.0072928128744563555,0.0017656627601418285,1,2
NESTLEIND.NS,5,2,3,0.4,-0.01067071165616585,0.013823977518874667,-0.004268284662466338,0.004026101848858455,1,4
NTPC.NS,5,4,1,0.8,-0.014327382203134224,-0.020237528163098,-0.011461905762507385,-0.015509411395126993,0,0
ONGC.NS,5,0,5,0.0,0.0,-0.0016757669989086407,0.0,-0.0016757669989086565,0,0
POWERGRID.NS,5,1,4,0.2,0.0089856831527233,-0.011517304760400773,0.0017971366305446768,-0.007416707177775955,1,2
RELIANCE.NS,5,4,1,0.8,0.0238739000595295,0.0385247404164653,0.019099120047623624,0.0268040681309167,0,0
SBILIFE.NS,5,2,3,0.4,-0.0065084889498101,0.008449312735105734,-0.0026033955799240616,0.0024661920611393716,0,0
SBIN.NS,5,1,4,0.2,-0.0925917615986877,-0.022067173774289323,-0.01851835231973754,-0.036172091339169044,1,3
SUNPHARMA.NS,5,1,4,0.2,-0.0538721559154589,0.0036641451690715508,-0.010774431183091793,-0.007843115047834559,1,2
TATACONSUM.NS,5,0,5,0.0,0.0,-0.01252673070188976,0.0,-0.012526730701889833,0,1
TATASTEEL.NS,5,2,3,0.4,-0.0011921280478821503,-0.009305067284555067,-0.000476851219152874,-0.006059891589885902,0,0
TCS.NS,5,1,4,0.2,-0.0234625346247535,0.0070522086694359,-0.004692506924950701,0.0009492600105980076,0,0
TECHM.NS,5,4,1,0.8,0.0273739294030789,0.0293961101222868,0.02189914352246315,0.0277783655469205,0,0
TITAN.NS,5,0,5,0.0,0.0,-0.0011177069740318211,0.0,-0.0011177069740318291,0,2
TRENT.NS,5,0,5,0.0,0.0,0.017426408089811118,0.0,0.01742640808981109,0,1
ULTRACEMCO.NS,5,0,5,0.0,0.0,-0.02026356636438324,0.0,-0.02026356636438329,0,1
WIPRO.NS,5,5,0,1.0,0.0101580130760812,0.0,0.010158013076081196,0.010158013076081196,1,1
