ticker,cutoff_date,control_feature_count,pcr_feature_count,control_rows_before_alignment,experiment_rows_before_alignment,common_rows_used,train_date_min,train_date_max,test_date_min,test_date_max,control_train_size,pcr_train_size,control_test_size,pcr_test_size,labels_identical,control_f1_macro,pcr_f1_macro,delta_f1_macro,control_raw_argmax_f1_macro,pcr_raw_argmax_f1_macro,control_accuracy,pcr_accuracy,weakest_class_control,weakest_class_pcr,weakest_class_f1_before,weakest_class_f1_after,weakest_class_delta,classes_improved,classes_worsened,class_collapse,feature_set_difference_verified,control_sell_precision,pcr_sell_precision,control_sell_recall,pcr_sell_recall,control_sell_f1,pcr_sell_f1,control_sell_support,pcr_sell_support,delta_sell_f1,control_hold_precision,pcr_hold_precision,control_hold_recall,pcr_hold_recall,control_hold_f1,pcr_hold_f1,control_hold_support,pcr_hold_support,delta_hold_f1,control_buy_precision,pcr_buy_precision,control_buy_recall,pcr_buy_recall,control_buy_f1,pcr_buy_f1,control_buy_support,pcr_buy_support,delta_buy_f1,control_prediction_distribution,control_raw_prediction_distribution,control_cv_score,control_optuna_trials,pcr_prediction_distribution,pcr_raw_prediction_distribution,pcr_cv_score,pcr_optuna_trials,horizon,prediction_shift,delta_cv_score,final_feature_date_max,latest_required_future_date,target_leakage_violations,target_cutoff_validation_passed
ADANIENT.NS,2025-08-08,55,57,909,909,909,2021-09-27,2024-10-16,2024-10-17,2025-07-25,727,727,182,182,True,0.38978813978813975,0.37764141627874176,-0.012146723509397994,0.38978813978813975,0.37764141627874176,0.3901098901098901,0.3956043956043956,BUY,BUY,0.38461538461538464,0.25882352941176473,-0.1257918552036199,1,2,BUY,True,0.38596491228070173,0.4117647058823529,0.4,0.6363636363636364,0.39285714285714285,0.5,55,55,0.10714285714285715,0.38666666666666666,0.3939393939393939,0.3972602739726027,0.3561643835616438,0.3918918918918919,0.37410071942446044,73,73,-0.01779117246743145,0.4,0.3548387096774194,0.37037037037037035,0.2037037037037037,0.38461538461538464,0.25882352941176473,54,54,-0.1257918552036199,"{""BUY"": 50, ""HOLD"": 75, ""SELL"": 57}","{""BUY"": 50, ""HOLD"": 75, ""SELL"": 57}",0.3289113015762884,75,"{""BUY"": 31, ""HOLD"": 66, ""SELL"": 85}","{""BUY"": 31, ""HOLD"": 66, ""SELL"": 85}",0.3341963201738829,75,10,56,0.005285018597594504,2025-07-25,2025-08-08,0,True
ADANIPORTS.NS,2025-08-08,55,57,909,909,909,2021-09-27,2024-10-16,2024-10-17,2025-07-25,727,727,182,182,True,0.28145450890803597,0.23646043165467626,-0.044994077253359716,0.27581699346405225,0.2291858035864537,0.29120879120879123,0.24175824175824176,SELL,SELL,0.16494845360824742,0.18,0.015051546391752574,1,2,BUY,True,0.2,0.20930232558139536,0.14035087719298245,0.15789473684210525,0.16494845360824742,0.18,57,57,0.015051546391752574,0.24691358024691357,0.2375,0.3389830508474576,0.3220338983050847,0.2857142857142857,0.2733812949640288,59,59,-0.0123329907502569,0.4098360655737705,0.2711864406779661,0.3787878787878788,0.24242424242424243,0.3937007874015748,0.256,66,66,-0.13770078740157482,"{""BUY"": 61, ""HOLD"": 81, ""SELL"": 40}","{""BUY"": 36, ""HOLD"": 103, ""SELL"": 43}",0.34807248074221625,75,"{""BUY"": 59, ""HOLD"": 80, ""SELL"": 43}","{""BUY"": 26, ""HOLD"": 106, ""SELL"": 50}",0.33504640103203903,75,10,6,-0.013026079710177219,2025-07-25,2025-08-08,0,True
APOLLOHOSP.NS,2025-08-08,55,57,909,909,909,2021-09-27,2024-10-16,2024-10-17,2025-07-25,727,727,182,182,True,0.3082772584626868,0.27728060961795903,-0.030996648844727748,0.30892473791209624,0.27780044853215585,0.31868131868131866,0.29120879120879123,SELL,SELL,0.26506024096385544,0.21686746987951808,-0.048192771084337366,0,3,,True,0.2619047619047619,0.21428571428571427,0.2682926829268293,0.21951219512195122,0.26506024096385544,0.21686746987951808,41,41,-0.048192771084337366,0.3918918918918919,0.3888888888888889,0.34523809523809523,0.3333333333333333,0.3670886075949367,0.358974358974359,84,84,-0.008114248620577746,0.2727272727272727,0.23529411764705882,0.3157894736842105,0.2807017543859649,0.2926829268292683,0.256,57,57,-0.03668292682926827,"{""BUY"": 66, ""HOLD"": 74, ""SELL"": 42}","{""BUY"": 70, ""HOLD"": 89, ""SELL"": 23}",0.32436774954620945,75,"{""BUY"": 68, ""HOLD"": 72, ""SELL"": 42}","{""BUY"": 69, ""HOLD"": 80, ""SELL"": 33}",0.32675396449903815,75,10,4,0.0023862149528287024,2025-07-25,2025-08-08,0,True
ASIANPAINT.NS,2025-08-08,55,57,909,909,909,2021-09-27,2024-10-16,2024-10-17,2025-07-25,727,727,182,182,True,0.30040758461811096,0.35774004131492054,0.057332456696809586,0.30040758461811096,0.35774004131492054,0.3626373626373626,0.4065934065934066,BUY,BUY,0.13333333333333333,0.24691358024691357,0.11358024691358024,3,0,,True,0.34210526315789475,0.3684210526315789,0.21311475409836064,0.22950819672131148,0.26262626262626265,0.2828282828282828,61,61,0.020202020202020166,0.40336134453781514,0.4424778761061947,0.676056338028169,0.704225352112676,0.5052631578947369,0.5434782608695652,71,71,0.03821510297482833,0.2,0.3225806451612903,0.1,0.2,0.13333333333333333,0.24691358024691357,50,50,0.11358024691358024,"{""BUY"": 25, ""HOLD"": 119, ""SELL"": 38}","{""BUY"": 25, ""HOLD"": 119, ""SELL"": 38}",0.3253706606144625,75,"{""BUY"": 31, ""HOLD"": 113, ""SELL"": 38}","{""BUY"": 31, ""HOLD"": 113, ""SELL"": 38}",0.3513829959602345,75,10,12,0.026012335345771964,2025-07-25,2025-08-08,0,True
AXISBANK.NS,2025-08-08,55,57,909,909,909,2021-09-27,2024-10-16,2024-10-17,2025-07-25,727,727,182,182,True,0.33284761716134265,0.37204646323583535,0.0391988460744927,0.33284761716134265,0.37204646323583535,0.34065934065934067,0.38461538461538464,SELL,SELL,0.29411764705882354,0.3238095238095238,0.029691876750700286,3,0,,True,0.38461538461538464,0.40476190476190477,0.23809523809523808,0.2698412698412698,0.29411764705882354,0.3238095238095238,63,63,0.029691876750700286,0.38461538461538464,0.43902439024390244,0.39473684210526316,0.47368421052631576,0.38961038961038963,0.45569620253164556,76,76,0.06608581292125593,0.26153846153846155,0.29310344827586204,0.3953488372093023,0.3953488372093023,0.3148148148148148,0.33663366336633666,43,43,0.02181884855152183,"{""BUY"": 65, ""HOLD"": 78, ""SELL"": 39}","{""BUY"": 65, ""HOLD"": 78, ""SELL"": 39}",0.377759611168395,75,"{""BUY"": 58, ""HOLD"": 82, ""SELL"": 42}","{""BUY"": 58, ""HOLD"": 82, ""SELL"": 42}",0.37811867673009475,75,10,14,0.000359065561699734,2025-07-25,2025-08-08,0,True
BAJAJ-AUTO.NS,2025-08-08,55,57,909,909,909,2021-09-27,2024-10-16,2024-10-17,2025-07-25,727,727,182,182,True,0.25884989714776946,0.24514527876724226,-0.013704618380527195,0.25884989714776946,0.24514527876724226,0.3021978021978022,0.2857142857142857,SELL,SELL,0.12987012987012986,0.1095890410958904,-0.020281088774239453,1,2,,True,0.35714285714285715,0.4,0.07936507936507936,0.06349206349206349,0.12987012987012986,0.1095890410958904,63,63,-0.020281088774239453,0.6666666666666666,0.65,0.14814814814814814,0.16049382716049382,0.24242424242424243,0.25742574257425743,81,81,0.015001500150015001,0.25333333333333335,0.23026315789473684,1.0,0.9210526315789473,0.40425531914893614,0.3684210526315789,38,38,-0.035834266517357216,"{""BUY"": 150, ""HOLD"": 18, ""SELL"": 14}","{""BUY"": 150, ""HOLD"": 18, ""SELL"": 14}",0.3060176341235273,75,"{""BUY"": 152, ""HOLD"": 20, ""SELL"": 10}","{""BUY"": 152, ""HOLD"": 20, ""SELL"": 10}",0.3072493340236503,75,10,8,0.0012316999001230067,2025-07-25,2025-08-08,0,True
BAJFINANCE.NS,2025-08-08,55,57,909,909,909,2021-09-27,2024-10-16,2024-10-17,2025-07-25,727,727,182,182,True,0.26570048309178745,0.27606837606837603,0.010367892976588577,0.26570048309178745,0.27606837606837603,0.3241758241758242,0.3076923076923077,BUY,BUY,0.0,0.07692307692307693,0.07692307692307693,1,2,BUY,True,0.224,0.20833333333333334,0.7777777777777778,0.6944444444444444,0.34782608695652173,0.32051282051282054,36,36,-0.02731326644370119,0.5740740740740741,0.6086956521739131,0.36904761904761907,0.3333333333333333,0.4492753623188406,0.4307692307692308,84,84,-0.018506131549609783,0.0,0.1875,0.0,0.04838709677419355,0.0,0.07692307692307693,62,62,0.07692307692307693,"{""BUY"": 3, ""HOLD"": 54, ""SELL"": 125}","{""BUY"": 3, ""HOLD"": 54, ""SELL"": 125}",0.3874639643153264,75,"{""BUY"": 16, ""HOLD"": 46, ""SELL"": 120}","{""BUY"": 16, ""HOLD"": 46, ""SELL"": 120}",0.35863673858078315,75,10,26,-0.02882722573454327,2025-07-25,2025-08-08,0,True
BAJAJFINSV.NS,2025-08-08,55,57,914,914,914,2021-09-27,2024-10-22,2024-10-23,2025-08-01,731,731,183,183,True,0.2947072072072072,0.2906947176033534,-0.004012489603853808,0.2947072072072072,0.2906947176033534,0.43169398907103823,0.44808743169398907,BUY,BUY,0.0625,0.09523809523809523,0.03273809523809523,2,1,BUY,True,0.17391304347826086,0.14705882352941177,0.23529411764705882,0.14705882352941177,0.2,0.14705882352941177,34,34,-0.05294117647058824,0.6,0.578125,0.6448598130841121,0.6915887850467289,0.6216216216216216,0.6297872340425532,107,107,0.008165612420931612,0.09090909090909091,0.14285714285714285,0.047619047619047616,0.07142857142857142,0.0625,0.09523809523809523,42,42,0.03273809523809523,"{""BUY"": 22, ""HOLD"": 115, ""SELL"": 46}","{""BUY"": 22, ""HOLD"": 115, ""SELL"": 46}",0.26342771983990504,75,"{""BUY"": 21, ""HOLD"": 128, ""SELL"": 34}","{""BUY"": 21, ""HOLD"": 128, ""SELL"": 34}",0.28475022823884744,75,5,26,0.021322508398942397,2025-08-01,2025-08-08,0,True
BEL.NS,2025-08-08,55,57,909,909,909,2021-09-27,2024-10-16,2024-10-17,2025-07-25,727,727,182,182,True,0.3245190892249716,0.37307180330436146,0.04855271407938988,0.3245190892249716,0.37307180330436146,0.32967032967032966,0.38461538461538464,SELL,HOLD,0.27350427350427353,0.35658914728682173,0.0830848737825482,2,1,,True,0.26666666666666666,0.3194444444444444,0.2807017543859649,0.40350877192982454,0.27350427350427353,0.35658914728682173,57,57,0.0830848737825482,0.23529411764705882,0.23214285714285715,0.37209302325581395,0.3023255813953488,0.2882882882882883,0.26262626262626265,43,43,-0.025662025662025634,0.5185185185185185,0.6296296296296297,0.34146341463414637,0.4146341463414634,0.4117647058823529,0.5,82,82,0.08823529411764708,"{""BUY"": 54, ""HOLD"": 68, ""SELL"": 60}","{""BUY"": 54, ""HOLD"": 68, ""SELL"": 60}",0.2707220908404312,75,"{""BUY"": 54, ""HOLD"": 56, ""SELL"": 72}","{""BUY"": 54, ""HOLD"": 56, ""SELL"": 72}",0.26510337710989085,75,10,24,-0.005618713730540348,2025-07-25,2025-08-08,0,True
BHARTIARTL.NS,2025-08-08,55,57,909,909,909,2021-09-27,2024-10-16,2024-10-17,2025-07-25,727,727,182,182,True,0.33237185235371874,0.3627006789770924,0.03032882662337366,0.33237185235371874,0.3627006789770924,0.3791208791208791,0.44505494505494503,BUY,BUY,0.16822429906542055,0.21359223300970873,0.045367933944288175,2,1,,True,0.47368421052631576,0.5,0.24324324324324326,0.1891891891891892,0.32142857142857145,0.27450980392156865,37,37,-0.0469187675070028,0.4594594594594595,0.525,0.5666666666666667,0.7,0.5074626865671642,0.6,90,90,0.09253731343283578,0.17307692307692307,0.22916666666666666,0.16363636363636364,0.2,0.16822429906542055,0.21359223300970873,55,55,0.045367933944288175,"{""BUY"": 52, ""HOLD"": 111, ""SELL"": 19}","{""BUY"": 52, ""HOLD"": 111, ""SELL"": 19}",0.33557660507609394,75,"{""BUY"": 48, ""HOLD"": 120, ""SELL"": 14}","{""BUY"": 48, ""HOLD"": 120, ""SELL"": 14}",0.33724630166370867,75,10,18,0.001669696587614733,2025-07-25,2025-08-08,0,True
