ticker,cutoff_date,control_feature_count,pcr_feature_count,control_rows_before_alignment,experiment_rows_before_alignment,common_rows_used,train_date_min,train_date_max,test_date_min,test_date_max,control_train_size,pcr_train_size,control_test_size,pcr_test_size,labels_identical,control_f1_macro,pcr_f1_macro,delta_f1_macro,control_raw_argmax_f1_macro,pcr_raw_argmax_f1_macro,control_accuracy,pcr_accuracy,weakest_class_control,weakest_class_pcr,weakest_class_f1_before,weakest_class_f1_after,weakest_class_delta,classes_improved,classes_worsened,class_collapse,feature_set_difference_verified,control_sell_precision,pcr_sell_precision,control_sell_recall,pcr_sell_recall,control_sell_f1,pcr_sell_f1,control_sell_support,pcr_sell_support,delta_sell_f1,control_hold_precision,pcr_hold_precision,control_hold_recall,pcr_hold_recall,control_hold_f1,pcr_hold_f1,control_hold_support,pcr_hold_support,delta_hold_f1,control_buy_precision,pcr_buy_precision,control_buy_recall,pcr_buy_recall,control_buy_f1,pcr_buy_f1,control_buy_support,pcr_buy_support,delta_buy_f1,control_prediction_distribution,control_raw_prediction_distribution,control_cv_score,control_optuna_trials,pcr_prediction_distribution,pcr_raw_prediction_distribution,pcr_cv_score,pcr_optuna_trials
ADANIENT.NS,2026-08-10,55,57,1143,1143,1143,2021-09-24,2025-07-31,2025-08-01,2026-07-27,914,914,229,229,True,0.4142353351567496,0.40475512295602084,-0.009480212200728755,0.4142353351567496,0.40475512295602084,0.4148471615720524,0.40611353711790393,HOLD,HOLD,0.38028169014084506,0.3698630136986301,-0.010418676442214947,1,2,,True,0.358695652173913,0.391304347826087,0.4647887323943662,0.5070422535211268,0.4049079754601227,0.44171779141104295,71,71,0.036809815950920255,0.4090909090909091,0.38571428571428573,0.35526315789473684,0.35526315789473684,0.38028169014084506,0.3698630136986301,76,76,-0.010418676442214947,0.49295774647887325,0.44776119402985076,0.4268292682926829,0.36585365853658536,0.45751633986928103,0.40268456375838924,82,82,-0.054831776110891794,"{""BUY"": 71, ""HOLD"": 66, ""SELL"": 92}","{""BUY"": 71, ""HOLD"": 66, ""SELL"": 92}",0.3774990484682612,75,"{""BUY"": 67, ""HOLD"": 70, ""SELL"": 92}","{""BUY"": 67, ""HOLD"": 70, ""SELL"": 92}",0.3826799671907172,75
ADANIPORTS.NS,2026-08-10,55,57,1143,1143,1143,2021-09-24,2025-07-31,2025-08-01,2026-07-27,914,914,229,229,True,0.3926733985128146,0.36798985328397094,-0.02468354522884364,0.3856048166392994,0.37437377254475485,0.4017467248908297,0.37554585152838427,HOLD,HOLD,0.2698412698412698,0.25,-0.019841269841269826,0,3,,True,0.30714285714285716,0.2878787878787879,0.7818181818181819,0.6909090909090909,0.441025641025641,0.40641711229946526,55,55,-0.03460852872617576,0.6538461538461539,0.5714285714285714,0.17,0.16,0.2698412698412698,0.25,100,100,-0.019841269841269826,0.5079365079365079,0.463768115942029,0.43243243243243246,0.43243243243243246,0.46715328467153283,0.44755244755244755,74,74,-0.01960083711908528,"{""BUY"": 63, ""HOLD"": 26, ""SELL"": 140}","{""BUY"": 13, ""HOLD"": 68, ""SELL"": 148}",0.319254510737872,75,"{""BUY"": 69, ""HOLD"": 28, ""SELL"": 132}","{""BUY"": 32, ""HOLD"": 55, ""SELL"": 142}",0.31628303775601,75
APOLLOHOSP.NS,2026-08-10,55,57,1143,1143,1143,2021-09-24,2025-07-31,2025-08-01,2026-07-27,914,914,229,229,True,0.21791847501091424,0.27202900655767687,0.054110531546762625,0.2078083175556571,0.25185892538833715,0.3231441048034934,0.3318777292576419,SELL,SELL,0.05405405405405406,0.16279069767441862,0.10873664362036456,2,1,,True,0.125,0.25,0.034482758620689655,0.1206896551724138,0.05405405405405406,0.16279069767441862,58,58,0.10873664362036456,0.325,0.30978260869565216,0.8333333333333334,0.7307692307692307,0.4676258992805755,0.4351145038167939,78,78,-0.03251139546378162,0.5384615384615384,0.7058823529411765,0.07526881720430108,0.12903225806451613,0.1320754716981132,0.21818181818181817,93,93,0.08610634648370497,"{""BUY"": 13, ""HOLD"": 200, ""SELL"": 16}","{""BUY"": 13, ""HOLD"": 211, ""SELL"": 5}",0.31304092254996313,75,"{""BUY"": 17, ""HOLD"": 184, ""SELL"": 28}","{""BUY"": 17, ""HOLD"": 202, ""SELL"": 10}",0.31546170067977103,75
ASIANPAINT.NS,2026-08-10,55,57,1143,1143,1143,2021-09-24,2025-07-31,2025-08-01,2026-07-27,914,914,229,229,True,0.39154495336981704,0.4250780260189735,0.03353307264915645,0.39154495336981704,0.4250780260189735,0.4104803493449782,0.4410480349344978,SELL,SELL,0.3114754098360656,0.31343283582089554,0.0019574259848299524,3,0,,True,0.3220338983050847,0.29577464788732394,0.30158730158730157,0.3333333333333333,0.3114754098360656,0.31343283582089554,63,63,0.0019574259848299524,0.45132743362831856,0.5578947368421052,0.5730337078651685,0.5955056179775281,0.504950495049505,0.5760869565217391,89,89,0.07113646147223418,0.42105263157894735,0.42857142857142855,0.3116883116883117,0.35064935064935066,0.3582089552238806,0.38571428571428573,77,77,0.027505330490405155,"{""BUY"": 57, ""HOLD"": 113, ""SELL"": 59}","{""BUY"": 57, ""HOLD"": 113, ""SELL"": 59}",0.3590843994303133,75,"{""BUY"": 63, ""HOLD"": 95, ""SELL"": 71}","{""BUY"": 63, ""HOLD"": 95, ""SELL"": 71}",0.33147560486435956,75
AXISBANK.NS,2026-08-10,55,57,1143,1143,1143,2021-09-24,2025-07-31,2025-08-01,2026-07-27,914,914,229,229,True,0.35337288337898043,0.3558158860834446,0.002443002704464181,0.35337288337898043,0.3558158860834446,0.37554585152838427,0.3799126637554585,SELL,SELL,0.2037037037037037,0.20952380952380953,0.0058201058201058364,2,1,,True,0.2558139534883721,0.275,0.16923076923076924,0.16923076923076924,0.2037037037037037,0.20952380952380953,65,65,0.0058201058201058364,0.3431372549019608,0.3333333333333333,0.5,0.4714285714285714,0.4069767441860465,0.3905325443786982,70,70,-0.016444199807348292,0.47619047619047616,0.4777777777777778,0.425531914893617,0.4574468085106383,0.449438202247191,0.4673913043478261,94,94,0.01795310210063511,"{""BUY"": 84, ""HOLD"": 102, ""SELL"": 43}","{""BUY"": 84, ""HOLD"": 102, ""SELL"": 43}",0.36668016770742773,75,"{""BUY"": 90, ""HOLD"": 99, ""SELL"": 40}","{""BUY"": 90, ""HOLD"": 99, ""SELL"": 40}",0.373455515798978,75
BAJAJ-AUTO.NS,2026-08-10,55,57,1143,1143,1143,2021-09-24,2025-07-31,2025-08-01,2026-07-27,914,914,229,229,True,0.28748336687533904,0.3274715977761663,0.03998823090082726,0.28748336687533904,0.3274715977761663,0.29694323144104806,0.34497816593886466,SELL,SELL,0.24347826086956523,0.25,0.006521739130434773,3,0,,True,0.23333333333333334,0.2191780821917808,0.2545454545454545,0.2909090909090909,0.24347826086956523,0.25,55,55,0.006521739130434773,0.24691358024691357,0.2923076923076923,0.29411764705882354,0.27941176470588236,0.2684563758389262,0.2857142857142857,68,68,0.017257909875359523,0.38636363636363635,0.4835164835164835,0.32075471698113206,0.41509433962264153,0.35051546391752575,0.4467005076142132,106,106,0.09618504369668746,"{""BUY"": 88, ""HOLD"": 81, ""SELL"": 60}","{""BUY"": 88, ""HOLD"": 81, ""SELL"": 60}",0.29974466382224946,75,"{""BUY"": 91, ""HOLD"": 65, ""SELL"": 73}","{""BUY"": 91, ""HOLD"": 65, ""SELL"": 73}",0.27826356163497634,75
BAJFINANCE.NS,2026-08-10,55,57,1143,1143,1143,2021-09-24,2025-07-31,2025-08-01,2026-07-27,914,914,229,229,True,0.32224781437160976,0.34327259523337955,0.021024780861769787,0.32224781437160976,0.34327259523337955,0.3406113537117904,0.34934497816593885,BUY,BUY,0.16071428571428573,0.23703703703703705,0.07632275132275132,2,1,,True,0.4117647058823529,0.38028169014084506,0.4307692307692308,0.4153846153846154,0.42105263157894735,0.39705882352941174,65,65,-0.023993808049535603,0.2808219178082192,0.30833333333333335,0.6119402985074627,0.5522388059701493,0.38497652582159625,0.39572192513368987,67,67,0.010745399312093618,0.6,0.42105263157894735,0.09278350515463918,0.16494845360824742,0.16071428571428573,0.23703703703703705,97,97,0.07632275132275132,"{""BUY"": 15, ""HOLD"": 146, ""SELL"": 68}","{""BUY"": 15, ""HOLD"": 146, ""SELL"": 68}",0.36826078145185653,75,"{""BUY"": 38, ""HOLD"": 120, ""SELL"": 71}","{""BUY"": 38, ""HOLD"": 120, ""SELL"": 71}",0.360637756070105,75
BAJAJFINSV.NS,2026-08-10,55,57,1148,1148,1148,2021-09-24,2025-08-06,2025-08-07,2026-08-03,918,918,230,230,True,0.30908232118758433,0.2843355412786161,-0.02474677990896823,0.30908232118758433,0.2843355412786161,0.32608695652173914,0.3217391304347826,BUY,BUY,0.24,0.18556701030927836,-0.054432989690721634,1,2,,True,0.25,0.20512820512820512,0.38333333333333336,0.26666666666666666,0.3026315789473684,0.2318840579710145,60,60,-0.07074752097635392,0.41237113402061853,0.4298245614035088,0.36036036036036034,0.44144144144144143,0.38461538461538464,0.43555555555555553,111,111,0.05094017094017089,0.2926829268292683,0.23684210526315788,0.2033898305084746,0.15254237288135594,0.24,0.18556701030927836,59,59,-0.054432989690721634,"{""BUY"": 41, ""HOLD"": 97, ""SELL"": 92}","{""BUY"": 41, ""HOLD"": 97, ""SELL"": 92}",0.3279048893964707,75,"{""BUY"": 38, ""HOLD"": 114, ""SELL"": 78}","{""BUY"": 38, ""HOLD"": 114, ""SELL"": 78}",0.33911358101774813,75
BEL.NS,2026-08-10,55,57,1143,1143,1143,2021-09-24,2025-07-31,2025-08-01,2026-07-27,914,914,229,229,True,0.2346339953507176,0.23213086972141947,-0.0025031256292981363,0.2346339953507176,0.23213086972141947,0.24017467248908297,0.2445414847161572,HOLD,HOLD,0.19117647058823528,0.13445378151260504,-0.056722689075630245,2,1,,True,0.23076923076923078,0.2571428571428571,0.23809523809523808,0.2857142857142857,0.234375,0.2706766917293233,63,63,0.03630169172932329,0.35135135135135137,0.4,0.13131313131313133,0.08080808080808081,0.19117647058823528,0.13445378151260504,99,99,-0.056722689075630245,0.2125984251968504,0.2158273381294964,0.40298507462686567,0.44776119402985076,0.27835051546391754,0.2912621359223301,67,67,0.012911620458412543,"{""BUY"": 127, ""HOLD"": 37, ""SELL"": 65}","{""BUY"": 127, ""HOLD"": 37, ""SELL"": 65}",0.3029545557333368,75,"{""BUY"": 139, ""HOLD"": 20, ""SELL"": 70}","{""BUY"": 139, ""HOLD"": 20, ""SELL"": 70}",0.3167632382441999,75
BHARTIARTL.NS,2026-08-10,55,57,1143,1143,1143,2021-09-24,2025-07-31,2025-08-01,2026-07-27,914,914,229,229,True,0.3322948175035289,0.36324764173646823,0.030952824232939324,0.3322948175035289,0.36324764173646823,0.37117903930131,0.4017467248908297,SELL,SELL,0.16091954022988506,0.18604651162790697,0.02512697139802192,3,0,,True,0.3333333333333333,0.4,0.10606060606060606,0.12121212121212122,0.16091954022988506,0.18604651162790697,66,66,0.02512697139802192,0.38461538461538464,0.4270833333333333,0.5421686746987951,0.4939759036144578,0.45,0.4581005586592179,83,83,0.008100558659217882,0.3626373626373626,0.3805309734513274,0.4125,0.5375,0.38596491228070173,0.44559585492227977,80,80,0.05963094264157803,"{""BUY"": 91, ""HOLD"": 117, ""SELL"": 21}","{""BUY"": 91, ""HOLD"": 117, ""SELL"": 21}",0.32525495061841186,75,"{""BUY"": 113, ""HOLD"": 96, ""SELL"": 20}","{""BUY"": 113, ""HOLD"": 96, ""SELL"": 20}",0.3248334192156846,75
