ticker,has_active_record,is_reliance,unexpected_active
ADANIENT.NS,False,False,False
ADANIPORTS.NS,False,False,False
APOLLOHOSP.NS,False,False,False
ASIANPAINT.NS,False,False,False
AXISBANK.NS,False,False,False
BAJAJ-AUTO.NS,False,False,False
BAJFINANCE.NS,False,False,False
BAJAJFINSV.NS,False,False,False
BEL.NS,False,False,False
BHARTIARTL.NS,False,False,False
BRITANNIA.NS,False,False,False
CIPLA.NS,False,False,False
COALINDIA.NS,False,False,False
DRREDDY.NS,False,False,False
EICHERMOT.NS,False,False,False
ETERNAL.NS,False,False,False
GRASIM.NS,False,False,False
HCLTECH.NS,False,False,False
HDFCBANK.NS,False,False,False
HDFCLIFE.NS,False,False,False
HEROMOTOCO.NS,False,False,False
HINDALCO.NS,False,False,False
HINDUNILVR.NS,False,False,False
ICICIBANK.NS,False,False,False
INDIGO.NS,False,False,False
INFY.NS,False,False,False
ITC.NS,False,False,False
JIOFIN.NS,False,False,False
JSWSTEEL.NS,False,False,False
KOTAKBANK.NS,False,False,False
LT.NS,False,False,False
M&M.NS,False,False,False
MARUTI.NS,False,False,False
MAXHEALTH.NS,False,False,False
NESTLEIND.NS,False,False,False
NTPC.NS,False,False,False
ONGC.NS,False,False,False
POWERGRID.NS,False,False,False
RELIANCE.NS,True,True,False
SBILIFE.NS,False,False,False
SBIN.NS,False,False,False
SHRIRAMFIN.NS,False,False,False
SUNPHARMA.NS,False,False,False
TATACONSUM.NS,False,False,False
TATASTEEL.NS,False,False,False
TCS.NS,False,False,False
TECHM.NS,False,False,False
TITAN.NS,False,False,False
TRENT.NS,False,False,False
ULTRACEMCO.NS,False,False,False
WIPRO.NS,False,False,False
