ticker,model_hash_match,feature_hash_match
ADANIENT.NS,True,True
ADANIPORTS.NS,True,True
APOLLOHOSP.NS,True,True
ASIANPAINT.NS,True,True
AXISBANK.NS,True,True
BAJAJ-AUTO.NS,True,True
BAJFINANCE.NS,True,True
BAJAJFINSV.NS,True,True
BEL.NS,True,True
BHARTIARTL.NS,True,True
BRITANNIA.NS,True,True
CIPLA.NS,True,True
COALINDIA.NS,True,True
DRREDDY.NS,True,True
EICHERMOT.NS,True,True
ETERNAL.NS,True,True
GRASIM.NS,True,True
HCLTECH.NS,True,True
HDFCBANK.NS,True,True
HDFCLIFE.NS,True,True
HEROMOTOCO.NS,True,True
HINDALCO.NS,True,True
HINDUNILVR.NS,True,True
ICICIBANK.NS,True,True
INDIGO.NS,True,True
INFY.NS,True,True
ITC.NS,True,True
JIOFIN.NS,True,True
JSWSTEEL.NS,True,True
KOTAKBANK.NS,True,True
LT.NS,True,True
M&M.NS,True,True
MARUTI.NS,True,True
MAXHEALTH.NS,True,True
NESTLEIND.NS,True,True
NTPC.NS,True,True
ONGC.NS,True,True
POWERGRID.NS,True,True
RELIANCE.NS,True,True
SBILIFE.NS,True,True
SBIN.NS,True,True
SHRIRAMFIN.NS,True,True
SUNPHARMA.NS,True,True
TATACONSUM.NS,True,True
TATASTEEL.NS,True,True
TCS.NS,True,True
TECHM.NS,True,True
TITAN.NS,True,True
TRENT.NS,True,True
ULTRACEMCO.NS,True,True
WIPRO.NS,True,True
