ticker,status_match,cv_match,pipeline_match
ADANIENT.NS,True,True,True
ADANIPORTS.NS,True,True,True
APOLLOHOSP.NS,True,True,True
ASIANPAINT.NS,True,True,True
AXISBANK.NS,True,True,True
BAJAJ-AUTO.NS,True,True,True
BAJFINANCE.NS,True,True,True
BAJAJFINSV.NS,True,True,True
BEL.NS,True,True,True
BHARTIARTL.NS,True,True,True
BRITANNIA.NS,True,True,True
CIPLA.NS,True,True,True
COALINDIA.NS,True,True,True
DRREDDY.NS,True,True,True
EICHERMOT.NS,True,True,True
ETERNAL.NS,True,True,True
GRASIM.NS,True,True,True
HCLTECH.NS,True,True,True
HDFCBANK.NS,True,True,True
HDFCLIFE.NS,True,True,True
HEROMOTOCO.NS,True,True,True
HINDALCO.NS,True,True,True
HINDUNILVR.NS,True,True,True
ICICIBANK.NS,True,True,True
INDIGO.NS,True,True,True
INFY.NS,True,True,True
ITC.NS,True,True,True
JIOFIN.NS,True,True,True
JSWSTEEL.NS,True,True,True
KOTAKBANK.NS,True,True,True
LT.NS,True,True,True
M&M.NS,True,True,True
MARUTI.NS,True,True,True
MAXHEALTH.NS,True,True,True
NESTLEIND.NS,True,True,True
NTPC.NS,True,True,True
ONGC.NS,True,True,True
POWERGRID.NS,True,True,True
RELIANCE.NS,True,True,True
SBILIFE.NS,True,True,True
SBIN.NS,True,True,True
SHRIRAMFIN.NS,True,True,True
SUNPHARMA.NS,True,True,True
TATACONSUM.NS,True,True,True
TATASTEEL.NS,True,True,True
TCS.NS,True,True,True
TECHM.NS,True,True,True
TITAN.NS,True,True,True
TRENT.NS,True,True,True
ULTRACEMCO.NS,True,True,True
WIPRO.NS,True,True,True
