ticker,candidate_count,eligible_candidate_count,selected_version,selected_cv_score,selected_trained_at,selection_status,selection_reason,excluded_candidate_versions,excluded_candidate_reasons,policy_version
ADANIENT.NS,3,3,3c7a4a5ae14c,0.3875932267597147,2026-08-11T02:24:20.275427+00:00,SELECTED,Highest CV score,66c2ef3e02d0;02396567e184,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
ADANIPORTS.NS,3,3,b93ab9691be4,0.3297875129790172,2026-08-12T06:46:46.047599+00:00,SELECTED,Highest CV score,dd85a7190418;06bc74a2363f,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
APOLLOHOSP.NS,3,3,a0bd0b468e8b,0.3248009428062247,2026-08-12T02:23:51.763473+00:00,SELECTED,Highest CV score,cbe6d8ee7790;05ede10abd64,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
ASIANPAINT.NS,3,3,e6259388a183,0.34367921252244915,2026-08-12T06:54:40.205191+00:00,SELECTED,Highest CV score,fc03c2cbd1c4;4824c1b99db7,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
AXISBANK.NS,3,3,c5887408a2bd,0.3709348447160547,2026-08-11T02:49:27.603105+00:00,SELECTED,Highest CV score,c9b756f77ab8;6714ad67d111,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
BAJAJ-AUTO.NS,3,3,4ead6a75dc12,0.2985209507186804,2026-08-11T02:53:07.260860+00:00,SELECTED,Highest CV score,48c2a43dffff;db9e0769b1d1,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
BAJFINANCE.NS,3,3,433d0ad7ddca,0.3667604555612217,2026-08-11T02:55:52.455129+00:00,SELECTED,Highest CV score,397cf26016b6;19fd01804fed,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
BAJAJFINSV.NS,3,3,d7782e81c688,0.33015692338552116,2026-08-11T02:58:48.859142+00:00,SELECTED,Highest CV score,d1602b7bb0cc;550436d37c2e,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
BEL.NS,3,3,5c1ff0aa0aad,0.30951502449043006,2026-08-11T03:03:12.551150+00:00,SELECTED,Highest CV score,d531ce73163b;5cc7f5c36428,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
BHARTIARTL.NS,3,3,1db6ff197a40,0.31832330168990447,2026-08-12T07:30:04.668027+00:00,SELECTED,Highest CV score,54da001749a5;909066bc44c9,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
BRITANNIA.NS,3,3,b4951f71a6bf,0.3808784415888023,2026-08-12T02:54:10.410644+00:00,SELECTED,Highest CV score,fd8d23128b94;75a51f014587,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
