ticker,diff_training_cutoff,diff_dataset_hash,diff_pipeline,diff_hyperparams
ADANIENT.NS,False,True,False,True
ADANIPORTS.NS,False,True,False,True
APOLLOHOSP.NS,False,True,False,True
ASIANPAINT.NS,False,True,False,True
AXISBANK.NS,False,True,False,True
BAJAJ-AUTO.NS,False,True,False,True
BAJFINANCE.NS,False,True,False,True
BAJAJFINSV.NS,False,True,False,True
BEL.NS,False,True,False,True
BHARTIARTL.NS,False,True,False,True
BRITANNIA.NS,False,True,False,True
CIPLA.NS,False,True,False,True
COALINDIA.NS,False,True,False,True
DRREDDY.NS,False,True,False,True
EICHERMOT.NS,False,True,False,True
ETERNAL.NS,False,True,False,True
GRASIM.NS,False,True,False,True
HCLTECH.NS,False,True,False,True
HDFCBANK.NS,False,True,False,True
HDFCLIFE.NS,False,True,False,True
HEROMOTOCO.NS,False,True,False,True
HINDALCO.NS,False,True,False,True
HINDUNILVR.NS,False,True,False,True
ICICIBANK.NS,False,True,False,True
INDIGO.NS,False,True,False,True
INFY.NS,False,True,False,True
ITC.NS,False,True,False,True
JIOFIN.NS,False,True,False,True
JSWSTEEL.NS,False,True,False,True
KOTAKBANK.NS,False,True,False,True
LT.NS,False,True,False,True
M&M.NS,False,True,False,True
MARUTI.NS,False,True,False,True
MAXHEALTH.NS,False,True,False,True
NESTLEIND.NS,False,True,False,True
NTPC.NS,False,True,False,True
ONGC.NS,False,True,False,True
POWERGRID.NS,False,True,False,True
RELIANCE.NS,False,True,False,True
SBILIFE.NS,False,True,False,True
SBIN.NS,False,True,False,True
SHRIRAMFIN.NS,False,True,False,True
SUNPHARMA.NS,False,True,False,True
TATACONSUM.NS,False,True,False,True
TATASTEEL.NS,False,True,False,True
TCS.NS,False,True,False,True
TECHM.NS,False,True,False,True
TITAN.NS,False,True,False,True
TRENT.NS,False,True,False,True
ULTRACEMCO.NS,False,True,False,True
WIPRO.NS,False,True,False,True
