ticker,policy_A_vs_B_agreement
ADANIENT.NS,False
ADANIPORTS.NS,True
APOLLOHOSP.NS,False
ASIANPAINT.NS,True
AXISBANK.NS,False
BAJAJ-AUTO.NS,False
BAJFINANCE.NS,False
BAJAJFINSV.NS,False
BEL.NS,False
BHARTIARTL.NS,True
BRITANNIA.NS,False
CIPLA.NS,False
COALINDIA.NS,False
DRREDDY.NS,False
EICHERMOT.NS,False
ETERNAL.NS,True
GRASIM.NS,True
HCLTECH.NS,False
HDFCBANK.NS,True
HDFCLIFE.NS,False
HEROMOTOCO.NS,False
HINDALCO.NS,False
HINDUNILVR.NS,False
ICICIBANK.NS,False
INDIGO.NS,False
INFY.NS,False
ITC.NS,True
JIOFIN.NS,False
JSWSTEEL.NS,False
KOTAKBANK.NS,True
LT.NS,False
M&M.NS,True
MARUTI.NS,False
MAXHEALTH.NS,True
NESTLEIND.NS,False
NTPC.NS,False
ONGC.NS,False
POWERGRID.NS,True
RELIANCE.NS,True
SBILIFE.NS,True
SBIN.NS,True
SHRIRAMFIN.NS,True
SUNPHARMA.NS,True
TATACONSUM.NS,False
TATASTEEL.NS,False
TCS.NS,False
TECHM.NS,True
TITAN.NS,False
TRENT.NS,False
ULTRACEMCO.NS,False
WIPRO.NS,True
