ticker,total_pcr_rows,distinct_pcr_dates,first_pcr_date,last_pcr_date,expected_trading_sessions,coverage_pct,pcr_oi_non_null,pcr_oi_null,non_numeric_pcr_oi,pcr_chg5_usable,usable_feature_dates,usable_feature_coverage_pct,latest_usable_feature_date,duplicate_records,raw_cursor_non_monotonic_date_pairs,weekday_gap_count,invalid_date_records,coverage_classification,feature_usability
ADANIENT.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
ADANIPORTS.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
APOLLOHOSP.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
ASIANPAINT.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
AXISBANK.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
BAJAJ-AUTO.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
BAJFINANCE.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,2,68,0,HIGH_COVERAGE,USABLE
BAJAJFINSV.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
BEL.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
BHARTIARTL.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
BRITANNIA.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
CIPLA.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
COALINDIA.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
DRREDDY.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
EICHERMOT.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
ETERNAL.NS,330,330,2025-04-09,2026-08-11,1275,25.882352941176475,330,0,0,325,324,25.41176470588235,2026-08-11,0,0,20,0,LOW_COVERAGE,LIMITED
GRASIM.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
HCLTECH.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
HDFCBANK.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
HDFCLIFE.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
HEROMOTOCO.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
HINDALCO.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
HINDUNILVR.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
ICICIBANK.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
INDIGO.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
INFY.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
ITC.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
JIOFIN.NS,419,419,2024-11-29,2026-08-11,1275,32.86274509803921,419,0,0,414,413,32.3921568627451,2026-08-11,0,0,24,0,LOW_COVERAGE,LIMITED
JSWSTEEL.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
KOTAKBANK.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
LT.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
M&M.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
MARUTI.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
MAXHEALTH.NS,419,419,2024-11-29,2026-08-11,1275,32.86274509803921,419,0,0,414,413,32.3921568627451,2026-08-11,0,0,24,0,LOW_COVERAGE,LIMITED
NESTLEIND.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
NTPC.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,1,68,0,HIGH_COVERAGE,USABLE
ONGC.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
POWERGRID.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
RELIANCE.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
SBILIFE.NS,1206,1206,2021-09-22,2026-08-11,1275,94.58823529411765,1206,0,0,1201,1200,94.11764705882352,2026-08-11,0,0,68,0,HIGH_COVERAGE,USABLE
